date,Availability,SOC,Power,Frequency
04/09/2025 18:00:00,,0.77,-0.00758,50.050000000000004
04/09/2025 18:30:00,,0.77,-0.00761,49.99666666666667
04/09/2025 19:00:00,,0.77,-0.0076300000000000005,49.970000000000006
04/09/2025 19:30:00,,0.77,-0.007353333333333333,49.973333333333336
04/09/2025 20:00:00,,0.77,-0.007673333333333333,50.02666666666667
04/09/2025 20:30:00,,0.77,-0.00716,49.97
04/09/2025 21:00:00,,0.77,-0.007216666666666666,50.06666666666666
04/09/2025 21:30:00,,0.77,-0.007223333333333334,49.946666666666665
04/09/2025 22:00:00,,0.77,-0.007353333333333333,50.04333333333333
04/09/2025 22:30:00,,0.77,-0.007316666666666666,50.07333333333333
04/09/2025 23:00:00,,0.77,-0.007030000000000001,50.03666666666667
04/09/2025 23:30:00,,0.77,-0.006940000000000001,49.949999999999996
05/09/2025 00:00:00,,0.77,-0.007113333333333333,50.04333333333333
05/09/2025 00:30:00,,0.77,-0.00707,49.919999999999995
05/09/2025 01:00:00,,0.77,-0.006986666666666666,50.07
05/09/2025 01:30:00,,0.77,-0.006896666666666666,49.96
05/09/2025 02:00:00,,0.77,-0.0070533333333333325,50.050000000000004
05/09/2025 02:30:00,,0.77,-0.006816666666666666,49.98666666666667
05/09/2025 03:00:00,,0.77,-0.006833333333333334,49.99666666666667
05/09/2025 03:30:00,,0.77,-0.00739,50.00333333333333
05/09/2025 04:00:00,,0.77,-0.006966666666666667,50.026666666666664
05/09/2025 04:30:00,,0.77,-0.006993333333333333,49.99
05/09/2025 05:00:00,,0.77,-0.007006666666666667,50.026666666666664
05/09/2025 05:30:00,,0.77,-0.00706,50.0
05/09/2025 06:00:00,,0.77,-0.007313333333333332,50.01
05/09/2025 06:30:00,,0.77,-0.0069500000000000004,49.943333333333335
05/09/2025 07:00:00,,0.77,-0.0073999999999999995,50.00333333333333
05/09/2025 07:30:00,,0.77,-0.00698,49.99666666666667
05/09/2025 08:00:00,,0.77,-0.007016666666666667,49.916666666666664
05/09/2025 08:30:00,,0.77,-0.007216666666666667,50.00666666666666
05/09/2025 09:00:00,,0.77,-0.007183333333333333,50.11666666666667
05/09/2025 09:30:00,,0.77,-0.007076666666666666,50.11000000000001
05/09/2025 10:00:00,,0.77,-0.007226666666666667,50.03666666666667
05/09/2025 10:30:00,,0.77,-0.007363333333333333,50.01666666666667
05/09/2025 11:00:00,,0.77,-0.007456666666666667,49.96
05/09/2025 11:30:00,,0.77,-0.00738,49.97
05/09/2025 12:00:00,,0.77,-0.007553333333333333,50.03666666666666
05/09/2025 12:30:00,,0.77,-0.007366666666666666,49.88999999999999
05/09/2025 13:00:00,,0.77,-0.007556666666666666,50.02
05/09/2025 13:30:00,,0.77,-0.007346666666666667,50.02333333333333
05/09/2025 14:00:00,,0.77,-0.007426666666666667,50.05666666666667
05/09/2025 14:30:00,,0.77,-0.007476666666666666,50.083333333333336
05/09/2025 15:00:00,,0.77,-0.007396666666666667,50.083333333333336
05/09/2025 15:30:00,,0.77,-0.007333333333333333,50.03333333333334
05/09/2025 16:00:00,,1.0,-0.008606666666666667,49.91333333333333
05/09/2025 16:30:00,,,-0.00769,49.91
05/09/2025 17:00:00,,0.87,-0.28564,49.92666666666667
05/09/2025 17:30:00,,7.64,-1.75727,49.94666666666666
05/09/2025 18:00:00,,15.06,-1.5301633333333333,49.913333333333334
05/09/2025 18:30:00,,14.99,0.0014733333333333334,50.026666666666664
05/09/2025 19:00:00,,15.77,0.0015766666666666665,50.050000000000004
05/09/2025 19:30:00,,15.43,0.00161,50.04333333333333
05/09/2025 20:00:00,,14.75,0.0016166666666666666,50.01666666666667
05/09/2025 20:30:00,,14.18,0.0015000000000000002,49.93666666666667
05/09/2025 21:00:00,,13.52,0.00151,49.946666666666665
05/09/2025 21:30:00,,12.98,0.0015733333333333335,49.96
05/09/2025 22:00:00,,12.5,0.0016733333333333333,50.02666666666667
05/09/2025 22:30:00,,12.19,0.001673333333333333,49.94333333333333
05/09/2025 23:00:00,,11.66,0.0016300000000000002,49.946666666666665
05/09/2025 23:30:00,,11.35,0.0017066666666666664,50.02333333333333
06/09/2025 00:00:00,,11.03,0.0017366666666666665,50.04666666666666
06/09/2025 00:30:00,,10.69,0.0016233333333333334,49.95333333333334
06/09/2025 01:00:00,,10.46,0.00141,50.01333333333333
06/09/2025 01:30:00,,10.11,0.0016,49.95333333333334
06/09/2025 02:00:00,,9.86,0.00158,49.94333333333333
06/09/2025 02:30:00,,9.46,0.0015933333333333335,49.946666666666665
06/09/2025 03:00:00,,9.17,0.0016899999999999999,49.949999999999996
06/09/2025 03:30:00,,8.89,0.0018033333333333332,50.05666666666667
06/09/2025 04:00:00,,8.67,0.0016899999999999999,49.95000000000001
06/09/2025 04:30:00,,8.37,0.00142,49.95666666666667
06/09/2025 05:00:00,,8.01,0.00143,50.01333333333333
06/09/2025 05:30:00,,7.82,0.0015500000000000002,49.949999999999996
06/09/2025 06:00:00,,7.42,0.0015866666666666668,49.95333333333334
06/09/2025 06:30:00,,7.2,0.0016433333333333335,50.00333333333333
06/09/2025 07:00:00,,6.93,0.0014333333333333333,49.99333333333333
06/09/2025 07:30:00,,6.68,0.0015633333333333332,50.06666666666666
06/09/2025 08:00:00,,6.38,0.0016466666666666667,49.96666666666667
06/09/2025 08:30:00,,6.1,0.0018833333333333332,50.11333333333334
06/09/2025 09:00:00,,5.91,0.00156,50.00333333333333
06/09/2025 09:30:00,,5.5,0.00172,50.096666666666664
06/09/2025 10:00:00,,5.32,0.0018200000000000002,50.07333333333333
06/09/2025 10:30:00,,5.15,0.0016499999999999998,50.00333333333333
06/09/2025 11:00:00,,4.92,0.0017766666666666668,50.11333333333334
06/09/2025 11:30:00,,4.62,0.0017066666666666669,50.083333333333336
06/09/2025 12:00:00,,4.41,0.0016766666666666666,50.10666666666666
06/09/2025 12:30:00,,4.18,0.0015033333333333333,49.94
06/09/2025 13:00:00,,4.21,0.0015533333333333334,49.93333333333334
